pano_a_path,pano_b_path,label,house_a,house_b,pair_source,topology_distance,split
Dataset\DollhouseTask_59179_NoOutdoor\DollhouseTask_59179_NoOutdoor\08ddbbcc-605d-40e6-8172-6de882afcaad.jpg,Dataset\DollhouseTask_59179_NoOutdoor\DollhouseTask_59179_NoOutdoor\08ddbbcc-79a4-479b-83c3-3a1c2c7b26bf.jpg,0,DollhouseTask_59179_NoOutdoor,DollhouseTask_59179_NoOutdoor,topology_distance_negative,5,train
Dataset\DollhouseTask_58499_NoOutdoor\DollhouseTask_58499_NoOutdoor\08ddb5a3-fc3d-49e7-8439-da7b800ab7f3.jpg,Dataset\DollhouseTask_58499_NoOutdoor\DollhouseTask_58499_NoOutdoor\08ddb5a4-04d0-492a-8a68-9972f0f23c47.jpg,1,DollhouseTask_58499_NoOutdoor,DollhouseTask_58499_NoOutdoor,hotspot_positive,,train
Dataset\DollhouseTask_58546_NoOutdoor\DollhouseTask_58546_NoOutdoor\DollhouseTask_58546_NoOutdoor\08ddb5d9-3650-402b-8bf6-db2d2ab4954c.jpg,Dataset\DollhouseTask_58546_NoOutdoor\DollhouseTask_58546_NoOutdoor\DollhouseTask_58546_NoOutdoor\08ddb5d9-55c7-4410-896a-c3d765ef24a4.jpg,0,DollhouseTask_58546_NoOutdoor,DollhouseTask_58546_NoOutdoor,topology_distance_negative,4,train
Dataset\DollhouseTask_63925_NoOutdoor\DollhouseTask_63925_NoOutdoor\08dde2a0-0b5b-475f-83d8-a684b67f55ff.jpg,Dataset\DollhouseTask_63925_NoOutdoor\DollhouseTask_63925_NoOutdoor\08dde2a0-2df5-454d-8e2b-016f5845736d.jpg,0,DollhouseTask_63925_NoOutdoor,DollhouseTask_63925_NoOutdoor,topology_distance_negative,8,train
Dataset\DollhouseTask_67184_NoOutdoor\08ddfe12-8c3a-425c-8795-e0eca559498e.jpg,Dataset\DollhouseTask_67184_NoOutdoor\08ddfe12-dcec-43cc-87a9-9722856eb3d1.jpg,0,DollhouseTask_67184_NoOutdoor,DollhouseTask_67184_NoOutdoor,topology_distance_negative,7,train
Dataset\DollhouseTask_67838_NoOutdoor\08de0386-c087-4ca1-82a3-00a74e7a6507.jpg,Dataset\DollhouseTask_67838_NoOutdoor\08de0387-c591-49fb-8c56-4c911ef2a68f.jpg,0,DollhouseTask_67838_NoOutdoor,DollhouseTask_67838_NoOutdoor,topology_distance_negative,4,train
Dataset\DollhouseTask_63934_NoOutdoor\DollhouseTask_63934_NoOutdoor\08dde295-c9d0-4633-81b4-0e1506b3407a.jpg,Dataset\DollhouseTask_63934_NoOutdoor\DollhouseTask_63934_NoOutdoor\08dde296-e789-4c4b-805c-e86a78227489.jpg,0,DollhouseTask_63934_NoOutdoor,DollhouseTask_63934_NoOutdoor,topology_distance_negative,6,train
Dataset\DollhouseTask_63108\DollhouseTask_63108\08dddc22-23d7-4ba4-8691-06f81cba910e.jpg,Dataset\DollhouseTask_63108\DollhouseTask_63108\08dddc22-2cde-4a91-8f56-ddfe4ed93474.jpg,1,DollhouseTask_63108,DollhouseTask_63108,hotspot_positive,,train
Dataset\DollhouseTask_68478_NoOutdoor\DollhouseTask_68478_NoOutdoor\08de08fc-6731-4bf1-8917-9a7355b8ad6f.jpg,Dataset\DollhouseTask_68478_NoOutdoor\DollhouseTask_68478_NoOutdoor\08de08fe-f530-4077-8ede-c2af276e49fb.jpg,1,DollhouseTask_68478_NoOutdoor,DollhouseTask_68478_NoOutdoor,hotspot_positive,,train
Dataset\DollhouseTask_66502_NoOutdoor\DollhouseTask_66502_NoOutdoor\08ddf88b-7032-4b74-80e8-57a08b99eda7.jpg,Dataset\DollhouseTask_66502_NoOutdoor\DollhouseTask_66502_NoOutdoor\08ddf88c-cb5a-45a6-8555-51bc2e85fca4.jpg,0,DollhouseTask_66502_NoOutdoor,DollhouseTask_66502_NoOutdoor,topology_distance_negative,6,train
Dataset\DollhouseTask_66502_NoOutdoor\DollhouseTask_66502_NoOutdoor\08ddf88c-2994-42ec-830a-79db03fb04d6.jpg,Dataset\DollhouseTask_66502_NoOutdoor\DollhouseTask_66502_NoOutdoor\08ddf88d-cbb5-474d-87cf-09827a017d94.jpg,0,DollhouseTask_66502_NoOutdoor,DollhouseTask_66502_NoOutdoor,topology_distance_negative,8,train
Dataset\DollhouseTask_68478_NoOutdoor\DollhouseTask_68478_NoOutdoor\08de08fe-1a55-473a-82ea-07edba963b70.jpg,Dataset\DollhouseTask_68478_NoOutdoor\DollhouseTask_68478_NoOutdoor\08de08fe-e4e2-42f6-84f8-6e61943b470d.jpg,0,DollhouseTask_68478_NoOutdoor,DollhouseTask_68478_NoOutdoor,topology_distance_negative,10,train
Dataset\DollhouseTask_68478_NoOutdoor\DollhouseTask_68478_NoOutdoor\08de08fa-96db-4a7e-85b6-79ba67f516f1.jpg,Dataset\DollhouseTask_68478_NoOutdoor\DollhouseTask_68478_NoOutdoor\08de08fe-2134-4732-8b03-f01b1a7cfc0f.jpg,0,DollhouseTask_68478_NoOutdoor,DollhouseTask_68478_NoOutdoor,topology_distance_negative,14,train
Dataset\DollhouseTask_60573_NoOutdoor\DollhouseTask_60573_NoOutdoor\08ddc6da-f4ea-41c1-88ee-54d53e66a845.jpg,Dataset\DollhouseTask_60573_NoOutdoor\DollhouseTask_60573_NoOutdoor\08ddc6db-0698-4a12-891c-982f8639e383.jpg,1,DollhouseTask_60573_NoOutdoor,DollhouseTask_60573_NoOutdoor,hotspot_positive,,train
Dataset\DollhouseTask_61267_NoOutdoor\DollhouseTask_61267_NoOutdoor\08ddcc5d-173a-4b8e-801a-934973376392.jpg,Dataset\DollhouseTask_61267_NoOutdoor\DollhouseTask_61267_NoOutdoor\08ddcc5d-af03-4c40-8328-593f9d300afb.jpg,0,DollhouseTask_61267_NoOutdoor,DollhouseTask_61267_NoOutdoor,topology_distance_negative,6,train
Dataset\DollhouseTask_69127_NoOutdoor\DollhouseTask_69127_NoOutdoor\08de0e71-deff-459d-8b88-a7c9d9e6193d.jpg,Dataset\DollhouseTask_69127_NoOutdoor\DollhouseTask_69127_NoOutdoor\08de0e74-17e4-41e4-8656-008811e29c9e.jpg,0,DollhouseTask_69127_NoOutdoor,DollhouseTask_69127_NoOutdoor,topology_distance_negative,10,train
Dataset\DollhouseTask_63925_NoOutdoor\DollhouseTask_63925_NoOutdoor\08dde29f-7606-4b63-8c48-fd0d2cf18923.jpg,Dataset\DollhouseTask_63925_NoOutdoor\DollhouseTask_63925_NoOutdoor\08dde2a0-476a-473f-8015-fa9d088045c4.jpg,0,DollhouseTask_63925_NoOutdoor,DollhouseTask_63925_NoOutdoor,topology_distance_negative,7,train
Dataset\DollhouseTask_68478_NoOutdoor\DollhouseTask_68478_NoOutdoor\08de08fc-8ed5-4f2c-8917-5a5fef31dd75.jpg,Dataset\DollhouseTask_68478_NoOutdoor\DollhouseTask_68478_NoOutdoor\08de08fd-fa49-4f2a-891e-0e8279dc638a.jpg,0,DollhouseTask_68478_NoOutdoor,DollhouseTask_68478_NoOutdoor,topology_distance_negative,10,train
Dataset\DollhouseTask_67184_NoOutdoor\08ddfe12-a769-4ed6-8eb6-cb4573755e95.jpg,Dataset\DollhouseTask_67184_NoOutdoor\08ddfe12-bdbc-4c00-8735-2973c7b17715.jpg,1,DollhouseTask_67184_NoOutdoor,DollhouseTask_67184_NoOutdoor,hotspot_positive,,train
Dataset\DollhouseTask_59863_NoOutdoor\DollhouseTask_59863_NoOutdoor\DollhouseTask_59863_NoOutdoor\08ddc16f-b456-41c8-8288-e3a3cd937361.jpg,Dataset\DollhouseTask_59863_NoOutdoor\DollhouseTask_59863_NoOutdoor\DollhouseTask_59863_NoOutdoor\08ddc170-90d1-420b-874d-6d0e080976c8.jpg,0,DollhouseTask_59863_NoOutdoor,DollhouseTask_59863_NoOutdoor,topology_distance_negative,4,train
Dataset\DollhouseTask_59203_NoOutdoor\DollhouseTask_59203_NoOutdoor\08ddbc0d-72d1-40fe-811e-4af01c7d94e2.jpg,Dataset\DollhouseTask_59203_NoOutdoor\DollhouseTask_59203_NoOutdoor\08ddbc0d-c1f7-4661-836d-656cd81fecd0.jpg,1,DollhouseTask_59203_NoOutdoor,DollhouseTask_59203_NoOutdoor,hotspot_positive,,train
Dataset\DollhouseTask_67184_NoOutdoor\08ddfe11-f4d7-44af-8991-e8bd012ce86d.jpg,Dataset\DollhouseTask_67184_NoOutdoor\08ddfe12-7b45-4356-8b9d-50c707d74069.jpg,0,DollhouseTask_67184_NoOutdoor,DollhouseTask_67184_NoOutdoor,topology_distance_negative,6,train
Dataset\DollhouseTask_66502_NoOutdoor\DollhouseTask_66502_NoOutdoor\08ddf88b-8d03-409d-81f6-0e440e14254d.jpg,Dataset\DollhouseTask_66502_NoOutdoor\DollhouseTask_66502_NoOutdoor\08ddf88c-3490-49a8-8f79-8980b69c8c42.jpg,0,DollhouseTask_66502_NoOutdoor,DollhouseTask_66502_NoOutdoor,topology_distance_negative,7,train
Dataset\DollhouseTask_68478_NoOutdoor\DollhouseTask_68478_NoOutdoor\08de08fc-0dd7-4b99-88f5-e6519db0b0a2.jpg,Dataset\DollhouseTask_68478_NoOutdoor\DollhouseTask_68478_NoOutdoor\08de08fe-d199-4699-8fe2-210531769935.jpg,0,DollhouseTask_68478_NoOutdoor,DollhouseTask_68478_NoOutdoor,topology_distance_negative,6,train
Dataset\DollhouseTask_68478_NoOutdoor\DollhouseTask_68478_NoOutdoor\08de08fb-2a58-4b40-8b6b-63442fad7fa9.jpg,Dataset\DollhouseTask_68478_NoOutdoor\DollhouseTask_68478_NoOutdoor\08de08fd-528b-45bf-8a6c-b78700bf42fa.jpg,0,DollhouseTask_68478_NoOutdoor,DollhouseTask_68478_NoOutdoor,topology_distance_negative,8,train
Dataset\DollhouseTask_69127_NoOutdoor\DollhouseTask_69127_NoOutdoor\08de0e72-4458-4ee8-8926-14ff82f7b131.jpg,Dataset\DollhouseTask_69127_NoOutdoor\DollhouseTask_69127_NoOutdoor\08de0e73-fb70-430c-8c1f-69116d840948.jpg,0,DollhouseTask_69127_NoOutdoor,DollhouseTask_69127_NoOutdoor,topology_distance_negative,4,train
Dataset\DollhouseTask_61267_NoOutdoor\DollhouseTask_61267_NoOutdoor\08ddcc5d-3578-4912-8e99-67dc647652ec.jpg,Dataset\DollhouseTask_61267_NoOutdoor\DollhouseTask_61267_NoOutdoor\08ddcc5d-75e2-4426-8263-8486b4cd7d0c.jpg,0,DollhouseTask_61267_NoOutdoor,DollhouseTask_61267_NoOutdoor,topology_distance_negative,9,train
Dataset\DollhouseTask_67838_NoOutdoor\08de0386-b53f-4229-82c4-a2c9f566e71e.jpg,Dataset\DollhouseTask_67838_NoOutdoor\08de0387-c591-49fb-8c56-4c911ef2a68f.jpg,0,DollhouseTask_67838_NoOutdoor,DollhouseTask_67838_NoOutdoor,topology_distance_negative,4,train
Dataset\DollhouseTask_65849\DollhouseTask_65849\08ddf37d-17ed-4c8e-8553-7391f9216950.jpg,Dataset\DollhouseTask_65849\DollhouseTask_65849\08ddf37d-2328-4945-8726-097a71365776.jpg,0,DollhouseTask_65849,DollhouseTask_65849,topology_distance_negative,5,train
Dataset\DollhouseTask_58498_NoOutdoor\DollhouseTask_58498_NoOutdoor\08ddb599-20e9-4dc5-8b2f-b7d1462e0eae.jpg,Dataset\DollhouseTask_58498_NoOutdoor\DollhouseTask_58498_NoOutdoor\08ddb599-76f4-4995-8a66-24e2f4410130.jpg,0,DollhouseTask_58498_NoOutdoor,DollhouseTask_58498_NoOutdoor,topology_distance_negative,5,train
Dataset\DollhouseTask_66502_NoOutdoor\DollhouseTask_66502_NoOutdoor\08ddf88d-69eb-4ff1-8ce9-cdddd1e8efbf.jpg,Dataset\DollhouseTask_66502_NoOutdoor\DollhouseTask_66502_NoOutdoor\08ddf88d-7f4e-4a20-8ac5-ec475357d1bd.jpg,0,DollhouseTask_66502_NoOutdoor,DollhouseTask_66502_NoOutdoor,topology_distance_negative,7,train
Dataset\DollhouseTask_63247_NoOutdoor\DollhouseTask_63247_NoOutdoor\08dddd15-bd71-487f-8cc4-7fa3c2213ca6.jpg,Dataset\DollhouseTask_63247_NoOutdoor\DollhouseTask_63247_NoOutdoor\08dddd15-d43a-4b60-8f0f-e53e333a8a3b.jpg,1,DollhouseTask_63247_NoOutdoor,DollhouseTask_63247_NoOutdoor,hotspot_positive,,train
Dataset\DollhouseTask_58499_NoOutdoor\DollhouseTask_58499_NoOutdoor\08ddb5a3-5b92-4a58-879f-f193b429361a.jpg,Dataset\DollhouseTask_58499_NoOutdoor\DollhouseTask_58499_NoOutdoor\08ddb5a3-82dc-46fc-8e04-4dc1252c09e0.jpg,0,DollhouseTask_58499_NoOutdoor,DollhouseTask_58499_NoOutdoor,topology_distance_negative,4,train
Dataset\DollhouseTask_58691_NoOutdoor\DollhouseTask_58691_NoOutdoor\08ddb743-2cbc-4e0a-836c-2b5ad87b0c75.jpg,Dataset\DollhouseTask_58691_NoOutdoor\DollhouseTask_58691_NoOutdoor\08ddb743-93b0-4045-82bd-cc2f37b8cf4f.jpg,0,DollhouseTask_58691_NoOutdoor,DollhouseTask_58691_NoOutdoor,topology_distance_negative,5,train
Dataset\DollhouseTask_63925_NoOutdoor\DollhouseTask_63925_NoOutdoor\08dde29f-dba1-43eb-8ffb-de4582ff3e2d.jpg,Dataset\DollhouseTask_63925_NoOutdoor\DollhouseTask_63925_NoOutdoor\08dde2a0-7900-4f4a-871c-828a14fe9782.jpg,0,DollhouseTask_63925_NoOutdoor,DollhouseTask_63925_NoOutdoor,topology_distance_negative,6,train
Dataset\DollhouseTask_63934_NoOutdoor\DollhouseTask_63934_NoOutdoor\08dde295-5e34-4016-8566-4875fd4704e0.jpg,Dataset\DollhouseTask_63934_NoOutdoor\DollhouseTask_63934_NoOutdoor\08dde296-4709-429b-8d75-3d161e676840.jpg,0,DollhouseTask_63934_NoOutdoor,DollhouseTask_63934_NoOutdoor,topology_distance_negative,4,train
Dataset\DollhouseTask_65147_NoOutdoor\08dded67-4376-42da-8e2a-65daf487bdf1.jpg,Dataset\DollhouseTask_65147_NoOutdoor\08dded67-5bc4-4a72-8c12-a0342e1760c3.jpg,0,DollhouseTask_65147_NoOutdoor,DollhouseTask_65147_NoOutdoor,topology_distance_negative,4,train
Dataset\DollhouseTask_59203_NoOutdoor\DollhouseTask_59203_NoOutdoor\08ddbc0c-de21-4a7a-8b0c-b6a39a2298f1.jpg,Dataset\DollhouseTask_59203_NoOutdoor\DollhouseTask_59203_NoOutdoor\08ddbc0c-fe90-43c1-836d-ad808c8cac21.jpg,0,DollhouseTask_59203_NoOutdoor,DollhouseTask_59203_NoOutdoor,topology_distance_negative,5,train
Dataset\DollhouseTask_58533_NoOutdoor\DollhouseTask_58533_NoOutdoor\08ddb5bb-6d23-4559-80b2-a7baa88309f7.jpg,Dataset\DollhouseTask_58533_NoOutdoor\DollhouseTask_58533_NoOutdoor\08ddb5bb-e5ff-4225-8096-2728519e113c.jpg,0,DollhouseTask_58533_NoOutdoor,DollhouseTask_58533_NoOutdoor,topology_distance_negative,7,train
Dataset\DollhouseTask_61267_NoOutdoor\DollhouseTask_61267_NoOutdoor\08ddcc5d-9976-4611-825b-f647a3763d96.jpg,Dataset\DollhouseTask_61267_NoOutdoor\DollhouseTask_61267_NoOutdoor\08ddcc5d-d9ef-40f4-8d14-07a42e37c6c6.jpg,0,DollhouseTask_61267_NoOutdoor,DollhouseTask_61267_NoOutdoor,topology_distance_negative,6,train
Dataset\DollhouseTask_69126_NoOutdoor\08de0e6f-9b93-4883-8e28-434e7b3461e5.jpg,Dataset\DollhouseTask_69126_NoOutdoor\08de0e70-64c8-4c14-8e5b-667ec4cafad2.jpg,1,DollhouseTask_69126_NoOutdoor,DollhouseTask_69126_NoOutdoor,hotspot_positive,,train
Dataset\DollhouseTask_67839_NoOutdoor\DollhouseTask_67839_NoOutdoor\08de0389-0c99-4245-8aee-68420897ce08.jpg,Dataset\DollhouseTask_67839_NoOutdoor\DollhouseTask_67839_NoOutdoor\08de0389-1c0d-4a02-89c9-60aa3a149fe8.jpg,0,DollhouseTask_67839_NoOutdoor,DollhouseTask_67839_NoOutdoor,topology_distance_negative,5,train
Dataset\DollhouseTask_58533_NoOutdoor\DollhouseTask_58533_NoOutdoor\08ddb5bb-c71b-4d67-8afa-4acb11325f77.jpg,Dataset\DollhouseTask_58533_NoOutdoor\DollhouseTask_58533_NoOutdoor\08ddb5bb-cbfc-450f-898b-ef20145b1cf8.jpg,1,DollhouseTask_58533_NoOutdoor,DollhouseTask_58533_NoOutdoor,hotspot_positive,,train
Dataset\DollhouseTask_65147_NoOutdoor\08dded67-3e6c-486b-836d-94e1b89a430e.jpg,Dataset\DollhouseTask_65147_NoOutdoor\08dded67-47f4-4b74-85ff-cf411afbf7af.jpg,1,DollhouseTask_65147_NoOutdoor,DollhouseTask_65147_NoOutdoor,hotspot_positive,,train
Dataset\DollhouseTask_65849\DollhouseTask_65849\08ddf37d-3cfa-438f-8abf-d131d2221b64.jpg,Dataset\DollhouseTask_65849\DollhouseTask_65849\08ddf37d-885b-49e2-8d8c-4617e4a2e4ec.jpg,0,DollhouseTask_65849,DollhouseTask_65849,topology_distance_negative,4,train
Dataset\DollhouseTask_62615_NoOutdoor\DollhouseTask_62615_NoOutdoor\08ddd76b-904d-4a17-8f51-91f0d7972815.jpg,Dataset\DollhouseTask_59215_NoOutdoor\DollhouseTask_59215_NoOutdoor\08ddbbf3-595c-47fb-8bd4-55439589bd2c.jpg,0,DollhouseTask_62615_NoOutdoor,DollhouseTask_59215_NoOutdoor,cross_house_negative,,train
Dataset\DollhouseTask_67192_NoOutdoor\DollhouseTask_67192_NoOutdoor\08ddfdef-733c-4d07-87a3-4055726f09d6.jpg,Dataset\DollhouseTask_67192_NoOutdoor\DollhouseTask_67192_NoOutdoor\08ddfdf0-232b-401e-8105-bab3c39d75ac.jpg,0,DollhouseTask_67192_NoOutdoor,DollhouseTask_67192_NoOutdoor,topology_distance_negative,4,train
Dataset\DollhouseTask_66790\08ddfaba-cc63-4532-8692-68ed38a5f236.jpg,Dataset\DollhouseTask_66790\08ddfaba-e19e-4bf5-8b74-c718cc2d2756.jpg,1,DollhouseTask_66790,DollhouseTask_66790,hotspot_positive,,train
Dataset\DollhouseTask_68478_NoOutdoor\DollhouseTask_68478_NoOutdoor\08de08fc-7117-413c-882f-3ad15f992891.jpg,Dataset\DollhouseTask_68478_NoOutdoor\DollhouseTask_68478_NoOutdoor\08de08fd-660f-47af-822d-60a456190b00.jpg,0,DollhouseTask_68478_NoOutdoor,DollhouseTask_68478_NoOutdoor,topology_distance_negative,4,train
Dataset\DollhouseTask_69126_NoOutdoor\08de0e70-8a77-41d3-8ea8-865b13479a14.jpg,Dataset\DollhouseTask_69126_NoOutdoor\08de0e74-4c7c-431f-8106-c7c028e11aa9.jpg,0,DollhouseTask_69126_NoOutdoor,DollhouseTask_69126_NoOutdoor,topology_distance_negative,5,train
Dataset\DollhouseTask_59863_NoOutdoor\DollhouseTask_59863_NoOutdoor\DollhouseTask_59863_NoOutdoor\08ddc170-2244-4bc4-8800-5c0ed7178f6c.jpg,Dataset\DollhouseTask_58533_NoOutdoor\DollhouseTask_58533_NoOutdoor\08ddb5bb-58e0-40ed-8fe4-a3ec4acb05e5.jpg,0,DollhouseTask_59863_NoOutdoor,DollhouseTask_58533_NoOutdoor,cross_house_negative,,train
Dataset\DollhouseTask_61267_NoOutdoor\DollhouseTask_61267_NoOutdoor\08ddcc5d-665b-4c49-8ea6-966fba6f0920.jpg,Dataset\DollhouseTask_61267_NoOutdoor\DollhouseTask_61267_NoOutdoor\08ddcc5d-ca66-46c0-8f55-b1e75a580192.jpg,0,DollhouseTask_61267_NoOutdoor,DollhouseTask_61267_NoOutdoor,topology_distance_negative,18,train
Dataset\DollhouseTask_59203_NoOutdoor\DollhouseTask_59203_NoOutdoor\08ddbc0e-0a84-4424-8e5c-9f86224ae71d.jpg,Dataset\DollhouseTask_59203_NoOutdoor\DollhouseTask_59203_NoOutdoor\08ddbc0e-431e-40f0-8d15-aa6ecc558394.jpg,0,DollhouseTask_59203_NoOutdoor,DollhouseTask_59203_NoOutdoor,topology_distance_negative,9,train
Dataset\DollhouseTask_58533_NoOutdoor\DollhouseTask_58533_NoOutdoor\08ddb5bb-813e-4e34-8f71-161e7bfadba9.jpg,Dataset\DollhouseTask_58533_NoOutdoor\DollhouseTask_58533_NoOutdoor\08ddb5bb-cbfc-450f-898b-ef20145b1cf8.jpg,0,DollhouseTask_58533_NoOutdoor,DollhouseTask_58533_NoOutdoor,topology_distance_negative,5,train
Dataset\DollhouseTask_63934_NoOutdoor\DollhouseTask_63934_NoOutdoor\08dde295-92bc-43e0-89e9-a4d93a06c613.jpg,Dataset\DollhouseTask_63934_NoOutdoor\DollhouseTask_63934_NoOutdoor\08dde296-4709-429b-8d75-3d161e676840.jpg,0,DollhouseTask_63934_NoOutdoor,DollhouseTask_63934_NoOutdoor,topology_distance_negative,5,train
Dataset\DollhouseTask_69750_NoOutdoor\08de1401-a2b8-4d61-844e-fb84b7a67a61.jpg,Dataset\DollhouseTask_69750_NoOutdoor\08de1401-ae89-46d1-842e-f31e01c8215f.jpg,1,DollhouseTask_69750_NoOutdoor,DollhouseTask_69750_NoOutdoor,hotspot_positive,,train
